"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"31.08.2018","36,9000","38,0620","39,1000","36,0700","-4,73%"
"30.08.2018","38,7330","34,6690","42,2410","34,5410","13,92%"
"29.08.2018","34,0005","31,5365","34,0025","31,3725","8,04%"
"28.08.2018","31,4700","30,9460","31,6710","30,8560","1,67%"
"27.08.2018","30,9545","30,7415","31,0415","30,7415","0,60%"
"26.08.2018","30,7690","30,8555","30,8555","30,7590","-0,23%"
"24.08.2018","30,8400","30,4300","30,9500","30,2300","1,23%"
"23.08.2018","30,4650","30,2160","30,4650","29,9850","0,77%"
"22.08.2018","30,2330","29,9960","30,2820","29,9520","0,82%"
"21.08.2018","29,9860","29,8510","30,0210","29,8210","0,43%"
"20.08.2018","29,8565","29,8565","29,8865","29,8565","-0,03%"
"19.08.2018","29,8640","29,8580","29,8715","29,8363","0,02%"
"17.08.2018","29,8595","29,6945","29,8995","29,6495","0,46%"
"16.08.2018","29,7220","29,7770","29,9730","29,5270","-0,51%"
"15.08.2018","29,8750","29,7600","30,6250","29,5450","0,40%"
"14.08.2018","29,7570","30,0120","30,0220","29,0920","-0,60%"
"13.08.2018","29,9365","29,2175","30,3265","29,1975","2,25%"
"12.08.2018","29,2770","29,3300","29,3300","29,2320","0,16%"
"10.08.2018","29,2300","28,0720","29,3650","27,9800","4,13%"
"09.08.2018","28,0700","27,6060","28,1120","27,5300","1,62%"
"08.08.2018","27,6215","27,3790","27,6755","27,2455","0,85%"
"07.08.2018","27,3885","27,3245","27,4245","26,9945","0,22%"
"06.08.2018","27,3280","27,2930","27,5080","27,1980","0,08%"
"05.08.2018","27,3050","27,2870","27,3100","27,2840","0,05%"
"03.08.2018","27,2905","27,4345","27,4555","27,2855","-0,55%"
"02.08.2018","27,4425","27,4635","27,7335","27,4335","-0,21%"
"01.08.2018","27,5005","27,1945","27,7595","27,1945","0,29%"
"31.07.2018","27,4210","27,2580","27,4470","27,2020","0,63%"
"30.07.2018","27,2500","27,3190","27,4140","27,1940","-0,23%"
"29.07.2018","27,3130","27,3180","27,3260","27,3110","-0,03%"
"27.07.2018","27,3210","27,3980","27,4460","27,2910","-0,27%"
"26.07.2018","27,3960","27,3660","27,5040","27,2990","0,08%"
"25.07.2018","27,3740","27,4840","27,5020","27,2580","-0,38%"
"24.07.2018","27,4790","27,6040","27,6470","27,3520","-0,48%"
"23.07.2018","27,6115","27,6045","27,7145","27,4545","0,35%"
"22.07.2018","27,5150","27,5475","27,5560","27,5060","-0,31%"
"20.07.2018","27,6000","27,7500","27,7800","27,5500","-0,47%"
"19.07.2018","27,7300","27,5810","27,7600","27,5800","0,38%"
"18.07.2018","27,6250","27,5080","27,7550","27,4350","0,35%"
"17.07.2018","27,5300","27,3110","27,5400","27,2800","0,69%"
"16.07.2018","27,3400","27,2500","27,3800","27,1600","0,25%"
"15.07.2018","27,2705","27,2430","27,2750","27,2390","0,06%"
"13.07.2018","27,2550","27,2360","27,3880","27,0280","0,20%"
"12.07.2018","27,2015","27,3515","27,4715","27,0085","-0,77%"
"11.07.2018","27,4135","27,3805","27,6655","27,1855","-0,07%"
"10.07.2018","27,4330","27,9790","28,0130","27,1880","-1,75%"
"09.07.2018","27,9210","27,9870","27,9870","27,9120","-0,14%"
"08.07.2018","27,9610","27,9770","27,9820","27,9540","0,14%"
"06.07.2018","27,9210","28,0700","28,2420","27,8820","-0,52%"
"05.07.2018","28,0680","28,0690","28,3000","27,9300","-0,01%"
"04.07.2018","28,0700","27,9000","28,0700","27,8300","0,41%"
"03.07.2018","27,9545","28,2885","28,4515","27,7515","-1,16%"
"02.07.2018","28,2820","28,9260","28,9750","28,2450","-2,31%"
"01.07.2018","28,9500","28,9365","28,9830","28,9170","0,05%"
"29.06.2018","28,9365","28,0810","29,4055","28,0055","3,12%"
"28.06.2018","28,0600","27,4930","28,1650","27,3400","2,26%"
"27.06.2018","27,4400","27,0540","27,5100","27,0100","1,33%"
"26.06.2018","27,0800","27,0300","27,1800","26,9900","-0,04%"
"25.06.2018","27,0900","26,9900","27,1100","26,8800","0,29%"
"24.06.2018","27,0120","27,0040","27,0120","26,9860","-0,03%"
"22.06.2018","27,0190","27,4930","27,5260","26,9260","-1,73%"
"21.06.2018","27,4935","27,7505","27,7505","27,3265","-0,85%"
"20.06.2018","27,7280","27,7290","27,7290","27,7250","-0,10%"
"19.06.2018","27,7545","27,4305","27,9005","27,4305","0,52%"
"18.06.2018","27,6115","27,5385","28,1385","27,2885","-1,70%"
"17.06.2018","28,0900","28,1050","28,1050","28,0710","0,12%"
"15.06.2018","28,0550","27,0050","28,3550","26,5550","1,26%"
"14.06.2018","27,7050","26,0050","27,9050","26,0050","5,74%"
"13.06.2018","26,2000","25,9210","26,5500","25,5000","1,77%"
"12.06.2018","25,7435","26,0325","26,0325","25,6725","-1,24%"
"11.06.2018","26,0655","25,3455","26,0655","25,3455","3,19%"
"10.06.2018","25,2595","25,2820","25,2900","25,2595","-0,14%"
"08.06.2018","25,2950","24,9600","25,6050","24,8050","1,24%"
"07.06.2018","24,9850","24,8760","24,9920","24,8760","0,34%"
"06.06.2018","24,9005","24,9245","24,9695","24,8545","-0,10%"
"05.06.2018","24,9250","24,9440","24,9810","24,8050","-0,13%"
"04.06.2018","24,9575","24,9665","24,9885","24,9175","-0,38%"
"03.06.2018","25,0515","25,0655","25,0665","24,9690","0,33%"
"01.06.2018","24,9680","24,9610","24,9960","24,9180","0,03%"
"31.05.2018","24,9610","24,9180","25,0000","24,9180","0,14%"
"30.05.2018","24,9250","24,9150","24,9300","24,7050","0,26%"
"29.05.2018","24,8600","24,7190","24,9740","24,6040","0,46%"
"28.05.2018","24,7450","24,6000","24,7650","24,6000","0,92%"
"27.05.2018","24,5190","24,5220","24,5380","24,5100","-0,33%"
"25.05.2018","24,6000","24,5750","24,6200","24,5750","0,09%"
"24.05.2018","24,5785","24,4745","24,6435","24,3735","0,43%"
"23.05.2018","24,4735","24,2765","24,5275","24,2765","0,81%"
"22.05.2018","24,2770","24,3230","24,4030","24,2230","-0,38%"
"21.05.2018","24,3700","24,4000","24,4270","24,1220","-0,13%"
"18.05.2018","24,4025","24,3095","24,6775","24,3095","0,37%"
"17.05.2018","24,3120","24,2750","24,4700","24,0800","0,17%"
"16.05.2018","24,2705","24,0465","24,2855","23,4955","0,86%"
"15.05.2018","24,0635","24,9915","25,0415","23,0125","-3,77%"
"14.05.2018","25,0070","23,0280","25,0550","23,0280","8,68%"
"11.05.2018","23,0100","22,6780","23,9800","22,6600","1,37%"
"10.05.2018","22,7000","22,5100","22,7300","22,4400","0,07%"
"09.05.2018","22,6840","22,3700","22,7200","22,2200","0,93%"
"08.05.2018","22,4750","22,0400","23,2250","22,0350","2,42%"
"07.05.2018","21,9445","21,8535","21,9595","21,5495","0,41%"
"04.05.2018","21,8545","21,5005","21,9805","21,0305","-1,80%"
"03.05.2018","22,2550","21,1450","22,3050","21,1450","5,06%"
"02.05.2018","21,1830","20,5370","21,3240","20,5370","3,17%"
"01.05.2018","20,5315","20,5285","20,5435","20,5285","0,00%"
"30.04.2018","20,5305","20,5305","20,5305","20,5275","0,00%"
"27.04.2018","20,5295","20,5415","20,9365","20,5165","-0,09%"
"26.04.2018","20,5490","20,2490","20,6190","20,1690","1,49%"
"25.04.2018","20,2475","20,2505","20,2755","20,2475","-0,06%"
"24.04.2018","20,2600","20,2350","20,2650","20,2050","0,04%"
"23.04.2018","20,2510","20,1900","20,2770","20,1870","0,30%"
"20.04.2018","20,1905","20,1565","20,2325","20,1375","0,16%"
"19.04.2018","20,1585","20,1245","20,2195","20,0695","0,17%"
"18.04.2018","20,1235","20,1725","20,1935","20,1185","-0,24%"
"17.04.2018","20,1725","20,2155","20,2235","20,1685","-0,23%"
"16.04.2018","20,2188","20,1923","20,2312","20,1913","0,04%"
"13.04.2018","20,2100","20,2020","20,2390","20,1790","0,04%"
"12.04.2018","20,2020","20,1590","20,2290","20,1190","0,22%"
"11.04.2018","20,1585","20,1455","20,2035","20,1135","0,05%"
"10.04.2018","20,1485","20,1835","20,2265","20,1265","-0,21%"
"09.04.2018","20,1900","20,1595","20,2025","20,1595","0,07%"
"06.04.2018","20,1765","20,1885","20,2495","20,1745","-0,07%"
"05.04.2018","20,1910","20,1690","20,2110","20,1460","0,10%"
"04.04.2018","20,1700","20,1670","20,2360","20,1670","-0,01%"
"03.04.2018","20,1720","20,1320","20,2070","20,1320","0,19%"
"02.04.2018","20,1340","20,1340","20,1340","20,1340","0,09%"
"30.03.2018","20,1150","20,1150","20,1150","20,1050","-0,10%"
"29.03.2018","20,1350","20,1450","20,1450","20,1350","-0,05%"
"28.03.2018","20,1450","20,1450","20,1740","20,1050","-0,05%"
"27.03.2018","20,1550","20,1830","20,2060","20,1550","-0,05%"
"26.03.2018","20,1650","20,1650","20,1925","20,1250","-0,09%"
"23.03.2018","20,1830","20,2435","20,2560","20,1830","-0,17%"
"22.03.2018","20,2170","20,2570","20,2860","20,2170","-0,24%"
"21.03.2018","20,2650","20,2340","20,2950","20,2250","0,08%"
"20.03.2018","20,2490","20,2100","20,2700","20,1700","0,27%"
"19.03.2018","20,1950","20,1850","20,2800","20,1750","0,05%"
"16.03.2018","20,1850","20,3150","20,4100","20,1750","-0,64%"
"15.03.2018","20,3150","20,2140","20,3150","20,2140","0,44%"
"14.03.2018","20,2265","20,2045","20,2525","20,1225","0,12%"
"13.03.2018","20,2030","20,1900","20,2210","20,1160","0,04%"
"12.03.2018","20,1950","20,2250","20,2700","20,1050","-0,21%"
"09.03.2018","20,2365","20,2665","20,3965","20,2165","-0,48%"
"08.03.2018","20,3350","20,3050","20,4450","20,3050","-0,20%"
"07.03.2018","20,3750","20,2950","20,4300","20,2550","0,31%"
"06.03.2018","20,3125","20,2025","20,3375","20,0675","0,55%"
"05.03.2018","20,2020","20,2750","20,4120","20,1470","-0,29%"
"02.03.2018","20,2600","20,1410","20,2800","20,1410","0,56%"
"01.03.2018","20,1480","20,1570","20,2070","20,1170","0,16%"
"28.02.2018","20,1150","20,2040","20,2250","20,0550","-0,51%"
"27.02.2018","20,2185","20,1685","20,2385","20,0635","0,19%"
"26.02.2018","20,1800","19,9100","20,2000","19,9100","1,07%"
"23.02.2018","19,9660","19,9160","20,0060","19,9030","0,10%"
"22.02.2018","19,9460","19,8670","19,9920","19,8670","0,21%"
"21.02.2018","19,9040","19,8570","19,9970","19,8370","0,22%"
"20.02.2018","19,8600","19,8920","20,0530","19,7720","-0,20%"
"19.02.2018","19,9000","19,8100","19,9100","19,7800","0,67%"
"16.02.2018","19,7675","19,6075","19,7775","19,6075","0,57%"
"15.02.2018","19,6550","19,8900","19,8900","19,6350","-1,22%"
"14.02.2018","19,8975","19,9875","20,1325","19,8125","-0,48%"
"13.02.2018","19,9930","19,9880","19,9930","19,9880","0,07%"
"12.02.2018","19,9800","19,9850","19,9900","19,9800","-0,11%"
"09.02.2018","20,0015","19,9765","20,2865","19,9585","0,13%"
"08.02.2018","19,9750","19,6630","19,9750","19,6630","1,48%"
"07.02.2018","19,6835","19,5725","19,7125","19,5725","0,57%"
"06.02.2018","19,5710","19,4620","19,7410","19,4620","0,52%"
"05.02.2018","19,4705","19,4875","19,5785","19,4705","0,05%"
"02.02.2018","19,4600","19,3530","19,5550","19,3100","0,54%"
"01.02.2018","19,3550","19,5550","19,5550","19,3550","-1,43%"
"31.01.2018","19,6350","19,6200","19,7050","19,5550","0,02%"
"30.01.2018","19,6310","19,5250","19,6650","19,5250","0,34%"
"29.01.2018","19,5650","19,5520","19,6150","19,5050","0,02%"
"26.01.2018","19,5620","19,5680","19,5850","19,4650","-0,05%"
"25.01.2018","19,5710","19,5680","19,6180","19,3180","-0,38%"
"24.01.2018","19,6450","19,3150","19,6600","19,3050","1,61%"
"23.01.2018","19,3340","19,1400","19,4080","19,0980","1,03%"
"22.01.2018","19,1375","18,9825","19,1705","18,9455","0,80%"
"19.01.2018","18,9865","18,8695","19,0195","18,8695","0,56%"
"18.01.2018","18,8800","18,8780","18,9000","18,7900","0,05%"
"17.01.2018","18,8710","18,8790","18,9790","18,8710","-0,08%"
"16.01.2018","18,8860","18,7480","18,9130","18,7180","0,81%"
"15.01.2018","18,7350","18,6850","18,7850","18,6850","0,30%"
"12.01.2018","18,6785","18,6165","18,8065","18,6165","-0,12%"
"11.01.2018","18,7015","18,6235","18,7205","18,5705","0,34%"
"10.01.2018","18,6380","18,7660","18,8560","18,6260","-1,59%"
"09.01.2018","18,9400","19,0200","19,1250","18,9100","-0,53%"
"08.01.2018","19,0400","18,8700","19,1400","18,8700","0,85%"
"05.01.2018","18,8800","18,5500","19,0500","18,5500","1,40%"
"04.01.2018","18,6200","18,4600","18,6600","18,4100","0,92%"
"03.01.2018","18,4500","18,3870","18,4850","18,3100","0,29%"
"02.01.2018","18,3960","18,6190","18,6290","18,3690","-1,17%"
"01.01.2018","18,6145","18,6145","18,6145","18,6145","0,00%"
"29.12.2017","18,6145","19,0205","19,0205","18,5305","-2,95%"
"28.12.2017","19,1800","18,4500","19,1800","18,4500","4,03%"
"27.12.2017","18,4375","18,3175","18,5275","18,3175","0,60%"
"26.12.2017","18,3270","18,0810","18,3485","18,0360","1,56%"
"25.12.2017","18,0450","18,0450","18,0450","18,0450","0,00%"
"22.12.2017","18,0450","17,9350","18,0750","17,9350","0,62%"
"21.12.2017","17,9335","17,7505","17,9915","17,7505","1,12%"
"20.12.2017","17,7350","17,8050","17,8850","17,6550","0,65%"
"19.12.2017","17,6200","17,4900","17,6600","17,4900","0,33%"
"18.12.2017","17,5625","17,5240","17,6065","17,4765","0,31%"
"15.12.2017","17,5075","17,4885","17,6385","17,4485","0,44%"
"14.12.2017","17,4305","17,2965","17,4565","17,2865","0,75%"
"13.12.2017","17,3010","17,3500","17,3830","17,2930","-0,26%"
"12.12.2017","17,3455","17,2585","17,4085","17,2285","0,64%"
"11.12.2017","17,2350","17,2800","17,3050","17,2350","-0,20%"
"08.12.2017","17,2700","17,2700","17,2700","17,2700","-0,02%"
"07.12.2017","17,2735","17,2485","17,3755","17,2155","0,15%"
"06.12.2017","17,2475","17,2945","17,3405","17,2245","-0,23%"
"05.12.2017","17,2875","17,3305","17,4075","17,2875","-0,31%"
"04.12.2017","17,3405","17,2075","17,3675","17,1975","0,71%"
"01.12.2017","17,2190","17,2760","17,3260","17,2160","-0,50%"
"30.11.2017","17,3050","17,3640","17,4350","17,2850","-0,67%"
"29.11.2017","17,4215","17,3595","17,4645","17,3145","0,30%"
"28.11.2017","17,3695","17,3195","17,3905","17,3045","0,33%"
"27.11.2017","17,3130","17,3680","17,3680","17,2880","-0,20%"
"24.11.2017","17,3485","17,3955","17,4155","17,3485","-0,27%"
"23.11.2017","17,3950","17,4250","17,4550","17,3950","-0,17%"
"22.11.2017","17,4245","17,4715","17,5175","17,4245","-0,35%"
"21.11.2017","17,4850","17,4490","17,5200","17,4480","0,11%"
"20.11.2017","17,4650","17,4650","17,4650","17,4650","-0,06%"
"17.11.2017","17,4755","17,4735","17,5405","17,4695","-0,01%"
"16.11.2017","17,4775","17,5145","17,5395","17,4775","-0,23%"
"15.11.2017","17,5170","17,4975","17,5750","17,4975","0,20%"
"14.11.2017","17,4825","17,5025","17,5465","17,4415","-0,07%"
"13.11.2017","17,4950","17,4850","17,5650","17,4850","0,03%"
